Author	Link
Kishore2011a	https://www.nature.com/articles/nmeth.1608?page=14
Kishore2011b	https://www.nature.com/articles/nmeth.1608?page=14
Kishore2011c	https://www.nature.com/articles/nmeth.1608?page=14
Kishore2011d	https://www.nature.com/articles/nmeth.1608?page=14
Kishore2011e	https://www.nature.com/articles/nmeth.1608?page=14
Kishore2011f	https://www.nature.com/articles/nmeth.1608?page=14
Sanford2009	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2661799/
Shankarling2014a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4134512/
Shankarling2014b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4134512/
Shankarling2014c	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4134512/
Shankarling2014d	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4134512/
Haecker2012a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3426530/
Haecker2012b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3426530/
Karginov2013a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3731550/
Karginov2013b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3731550/
Karginov2013c	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3731550/
Karginov2013d	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3731550/
Karginov2013e	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3731550/
Karginov2013f	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3731550/
Macias2012a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3442229/
Macias2012b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3442229/
Macias2012c	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3442229/
Macias2012d	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3442229/
Sauliere2012a	https://pubmed.ncbi.nlm.nih.gov/23085716/
Paronetto2014	https://pubmed.ncbi.nlm.nih.gov/24813895/
Yeo2009	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2735254/
Nakaya2013a	https://pubmed.ncbi.nlm.nih.gov/23389473/
Nakaya2013b	https://pubmed.ncbi.nlm.nih.gov/23389473/
Nakaya2013c	https://pubmed.ncbi.nlm.nih.gov/23389473/
Nakaya2013d	https://pubmed.ncbi.nlm.nih.gov/23389473/
Nakaya2013e	https://pubmed.ncbi.nlm.nih.gov/23389473/
Wilbert2012a	https://pubmed.ncbi.nlm.nih.gov/22959275/
Wilbert2012b	https://pubmed.ncbi.nlm.nih.gov/22959275/
Hafner2010a	https://pubmed.ncbi.nlm.nih.gov/20371350/
Hafner2010b	https://pubmed.ncbi.nlm.nih.gov/20371350/
Hafner2010c	https://pubmed.ncbi.nlm.nih.gov/20371350/
Hafner2010d	https://pubmed.ncbi.nlm.nih.gov/20371350/
Hafner2013	https://pubmed.ncbi.nlm.nih.gov/23481595/
Gottwein2011a	https://pubmed.ncbi.nlm.nih.gov/22100165/
Gottwein2011b	https://pubmed.ncbi.nlm.nih.gov/22100165/
Skalsky2012a	https://pubmed.ncbi.nlm.nih.gov/22291592/
Skalsky2012b	https://pubmed.ncbi.nlm.nih.gov/22291592/
Skalsky2012c	https://pubmed.ncbi.nlm.nih.gov/22291592/
Skalsky2012d	https://pubmed.ncbi.nlm.nih.gov/22291592/
Skalsky2012e	https://pubmed.ncbi.nlm.nih.gov/22291592/
Baltz2012a	https://www.sciencedirect.com/science/article/pii/S1097276512004376
Baltz2012b	https://www.sciencedirect.com/science/article/pii/S1097276512004376
Baltz2012c	https://www.sciencedirect.com/science/article/pii/S1097276512004376
Baltz2012d	https://www.sciencedirect.com/science/article/pii/S1097276512004376
Baltz2012e	https://www.sciencedirect.com/science/article/pii/S1097276512004376
Lebedeva2011	https://pubmed.ncbi.nlm.nih.gov/21723171/
Hoell2011a	https://pubmed.ncbi.nlm.nih.gov/22081015/
Hoell2011b	https://pubmed.ncbi.nlm.nih.gov/22081015/
Hoell2011c	https://pubmed.ncbi.nlm.nih.gov/22081015/
Ascano2012a	https://pubmed.ncbi.nlm.nih.gov/22213601/
Ascano2012b	https://pubmed.ncbi.nlm.nih.gov/22213601/
Ascano2012c	https://pubmed.ncbi.nlm.nih.gov/22213601/
Ascano2012d	https://pubmed.ncbi.nlm.nih.gov/22213601/
Ascano2012e	https://pubmed.ncbi.nlm.nih.gov/22213601/
Ascano2012f	https://pubmed.ncbi.nlm.nih.gov/22213601/
Graf2013	https://pubmed.ncbi.nlm.nih.gov/23770886/
Ping2014	https://pubmed.ncbi.nlm.nih.gov/24407421/
Sievers2014	https://pubmed.ncbi.nlm.nih.gov/22844102/
Wang2013a	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3799496/
Wang2013b	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3799496/
Farazi2014	https://pubmed.ncbi.nlm.nih.gov/24860013/
Wang2012a	https://pubmed.ncbi.nlm.nih.gov/22901804/
Wang2012b	https://pubmed.ncbi.nlm.nih.gov/22901804/
Wang2012c	https://pubmed.ncbi.nlm.nih.gov/22901804/
Wang2012d	https://pubmed.ncbi.nlm.nih.gov/22901804/
Wang2012e	https://pubmed.ncbi.nlm.nih.gov/22901804/
